Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Goodwill Finance Co. Ltd.,676,840.00,788.00,798.00,73719.00,59236647.40,853.00,-55.00
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,390,1080.00,1015.10,1019.00,28960.00,29933577.70,1080.00,-61.00
Green Development Bank Ltd.,277,448.80,415.00,431.00,28440.00,12185445.60,452.00,-21.00
GreenLife Hydropower Limited,413,538.50,490.00,499.00,21293.00,10613781.10,528.00,-29.00
Guheshowori Merchant Bank & Finance Co. Ltd.,568,600.00,553.70,580.00,78801.00,45195242.40,607.10,-27.10
Gurans Laghubitta Bittiya Sanstha Limited,21,1640.00,1570.00,1582.00,715.00,1131755.50,1670.00,-88.00
Gurans Life Insurance Company Ltd.,301,659.00,632.00,643.90,45242.00,29014215.90,662.00,-18.10
Gurkhas Finance Ltd.,406,1051.00,980.00,1015.00,38518.00,38628150.90,1050.00,-35.00
Himal Dolakha Hydropower Company Limited,1052,377.00,355.80,366.00,192535.00,70309473.40,377.00,-11.00
Himalaya Urja Bikas Company Limited,213,494.70,460.00,470.00,18381.00,8608225.10,485.00,-15.00
Himalayan Distillery Limited,1064,6829.00,6621.00,6760.00,30395.00,204390507.70,6870.00,-110.00
Himalayan General Insurance Co. Ltd,243,727.00,710.00,718.00,40550.00,28953460.00,739.80,-21.80
Himalayan Power Partner Ltd.,584,620.00,579.20,603.80,114717.00,67866285.00,630.00,-26.20
Hydorelectricity Investment and Development Company Ltd,1526,413.00,397.00,400.00,196773.00,78993036.70,413.00,-13.00
ICFC Finance Limited,1260,892.50,845.00,845.00,213300.00,183341271.00,908.90,-63.90
IME General Insurance Ltd.,338,1140.00,1097.00,1097.00,24470.00,27153551.40,1150.00,-53.00
Infinity Laghubitta Bittiya Sanstha Limited,105,1709.00,1610.00,1642.00,4573.00,7495441.30,1699.00,-57.00
Janaki Finance Ltd.,572,699.00,660.00,673.50,64415.00,43556847.00,713.00,-39.50
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,53,3225.00,3175.00,3189.00,1012.00,3233148.60,3260.00,-71.00
Jeevan Bikas laghubitta  bittya sanstha ltd,1182,4510.00,4360.00,4386.00,17454.00,76984303.40,4510.00,-124.00
Joshi Hydropower Development Company Ltd,164,390.00,376.00,383.00,15052.00,5761369.50,397.90,-14.90
Jyoti Bikas Bank Limited,2234,544.00,520.00,526.00,296146.00,156471368.30,548.00,-22.00
Jyoti Life Insurance Ltd,672,660.00,642.00,645.00,17242.00,11203312.40,670.00,-25.00
Kalika Microcredit Development Bank Ltd.,136,1300.00,1250.00,1256.10,6388.00,8094039.50,1315.00,-58.90
Kalika power Company Ltd,199,679.00,640.00,645.00,30392.00,19872941.10,684.90,-39.90
Kamana Sewa Bikas Bank Limited,1479,700.00,670.00,683.20,206278.00,140931671.50,705.00,-21.00
Karnali Development Bank Limited,344,505.10,476.00,491.00,54917.00,26957978.60,512.00,-21.00
Khanikhola Hydropower Co. Ltd.,357,396.00,378.00,383.30,41963.00,16096051.60,395.00,-11.70
Kisan Lagubitta Bittiya Sanstha Limited,16,1465.20,1420.00,1448.00,381.00,547744.00,1465.20,-17.20
Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,1,890.00,890.00,890.00,10660.00,9487400.00,890.00,0.00
Kumari Bank Limited,1275,338.00,327.00,330.00,247321.00,81699510.40,340.00,-10.00
Kumari Equity Fund,28,9.98,9.82,9.87,26200.00,260517.00,9.97,-0.10
Laxmi Bank Limited,468,376.00,353.00,354.10,90140.00,32160563.70,369.00,-14.90
Laxmi Equity Fund,35,10.26,10.13,10.15,92800.00,943524.00,10.31,-0.16
Laxmi Laghubitta Bittiya Sanstha Ltd.,119,2029.00,1960.00,1987.50,7116.00,14093943.50,2070.00,-82.50
Laxmi Unnati Kosh,21,10.25,10.21,10.25,54750.00,559728.50,10.31,-0.06
Liberty Energy Company Limited,402,445.00,405.00,415.00,50491.00,21123057.20,445.00,-30.00
Life Insurance Co. Nepal,223,1997.00,1897.00,1997.00,12513.00,24278697.90,2019.60,-22.60
Lumbini Bikas Bank Ltd.,1408,612.00,581.10,591.00,206196.00,122037978.10,617.90,-26.90
Lumbini General Insurance Co. Ltd.,358,795.00,735.00,737.10,42725.00,31848758.50,780.00,-42.90
Machhapuchhre Bank Limited,533,393.00,380.60,383.00,165303.00,63525494.30,394.00,-11.00
Mahalaxmi Bikas Bank Ltd.,1243,605.00,570.00,581.00,195153.00,114076651.40,608.00,-27.00
Mahila Lagubitta Bittiya Sanstha Limited ,96,4530.00,4460.00,4461.10,2098.00,9402100.00,4550.00,-88.90
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,88,1980.10,1840.00,1897.00,2440.00,4587421.90,1992.10,-95.10
Manakamana Smart Laghubitta Bittiya Sanstha Limited,6,899.90,820.00,899.90,60.00,51670.00,818.10,81.80
Manjushree Finance Ltd.,896,1170.00,1085.00,1096.00,84197.00,92988464.30,1150.00,-54.00
Mega  Bank Nepal Ltd.,1099,345.00,336.00,337.50,186179.00,63123643.10,348.00,-10.50
Mega  Bank Nepal Ltd. Promoter Share,2,118.00,118.00,118.00,38954.00,4596572.00,120.00,-2.00
Mero Microfinance Bittiya Sanstha Ltd.,186,1530.10,1470.00,1491.00,12271.00,18301619.60,1541.10,-50.10
Mirmire Microfinance Development Bank Ltd.,204,1618.00,1540.00,1557.00,11622.00,18242626.40,1635.00,-78.00
Miteri Development Bank Limited,424,733.00,700.00,703.10,56308.00,40206965.10,747.00,-43.90
Mithila LaghuBitta Bittiya Sanstha Limited,58,1887.00,1800.00,1835.00,2713.00,4945444.00,1880.20,-45.20
Mountain Energy Nepal Limited,213,1319.10,1212.00,1298.00,12580.00,15716029.00,1346.00,-48.00
Mountain Hydro Nepal Limited,395,529.00,494.10,509.00,53345.00,27003487.80,539.00,-30.00
Muktinath Bikas Bank Ltd.,1556,725.00,695.20,705.00,187789.00,132133069.90,725.00,-20.00
Multipurpose Finance Company  Limited,109,570.00,537.00,540.00,12579.00,6848080.00,570.00,-30.00
NABIL BALANCED FUND-2,49,14.63,14.31,14.36,300050.00,4310628.50,14.50,-0.14
Nabil Bank Limited,1621,1440.00,1408.00,1424.50,108701.00,154238803.70,1445.00,-20.50
Nabil Equity Fund,76,15.52,15.25,15.40,312490.00,4788045.89,15.55,-0.15
Narayani Development Bank Limited,87,999.00,917.30,932.00,5269.00,4956292.00,980.00,-48.00
National Hydro Power Company Limited,1988,450.00,431.00,432.00,412649.00,181168972.30,455.00,-23.00
National Life Insurance Co. Ltd.,311,1062.80,1025.10,1032.00,32689.00,33939401.90,1062.80,-30.80
National Microfinance Bittiya Sanstha Ltd.,167,3025.00,2881.00,2910.00,5870.00,17102110.90,3010.00,-100.00
Naya Sarathi Laghubitta Bittiya Sanstha Limited,66,1530.00,1470.00,1470.00,5069.00,7541957.80,1552.00,-82.00
Neco Insurance Co. Ltd.,521,1359.00,1325.00,1335.00,41001.00,54618847.90,1370.00,-35.00
Nepal Bangladesh Bank Limited,866,434.50,420.00,425.00,182725.00,77504816.40,436.50,-11.50
Nepal Bank Limited,2526,505.00,488.00,491.10,373018.00,183556053.70,504.00,-12.90
Nepal Credit And Commercial Bank Limited,544,322.00,315.00,317.00,100682.00,32000784.10,324.50,-7.50
Nepal Doorsanchar Comapany Limited,312,1105.00,1075.00,1099.00,19407.00,21206173.00,1113.00,-14.00
Nepal Finance Ltd.,270,620.00,592.00,599.00,40866.00,24586321.60,627.00,-28.00
Nepal Hydro Developers Ltd.,147,634.00,593.00,601.10,15246.00,9194931.00,635.00,-33.90
Nepal Infrastructure Bank Limited,2977,395.00,384.70,388.50,230337.00,89182820.80,394.50,-6.00
Nepal Insurance Co. Ltd.,409,901.60,849.00,855.20,43535.00,37380031.80,884.00,-28.80
Nepal Life Insurance Co. Ltd.,1575,1748.00,1705.00,1706.50,70201.00,120480522.00,1755.00,-48.50
Nepal Life Insurance Co. Ltd. Promoter,1,986.20,986.20,986.20,20000.00,19724000.00,966.90,19.30
Nepal Reinsurance Company Limited,1353,1421.00,1381.00,1390.10,89722.00,125001821.10,1421.00,-30.90
Nepal SBI Bank Limited,252,377.00,370.00,373.00,45463.00,16911533.30,380.00,-7.00
Nerude Laghubita Bikas Bank Limited,116,1425.00,1395.00,1395.00,14185.00,19975198.90,1442.00,-47.00
Ngadi Group Power Ltd.,510,800.00,750.00,768.00,57233.00,44121805.40,800.00,-32.00
NIBL Pragati Fund,31,11.35,11.06,11.25,87793.00,976996.46,11.35,-0.10
NIBL Samriddhi Fund -2,24,9.90,9.81,9.90,71700.00,708227.00,10.00,-0.10
NIBL Samriddhi Fund 1,11,12.25,11.88,11.88,47956.00,571837.60,12.05,-0.17
NIC Asia Balanced Fund,16,10.81,10.65,10.65,62400.00,670082.00,10.81,-0.16
NIC Asia Bank Ltd.,1036,930.20,890.10,897.00,161004.00,144001114.90,912.00,-15.00
NIC Asia Growth Fund,10,11.77,11.65,11.76,60672.00,709081.80,11.77,-0.01
NIC ASIA Laghubitta Bittiya Sanstha Limited,645,1391.00,1340.00,1341.00,22041.00,29860294.40,1392.00,-51.00
NIC Asia Select Fund 30,32,9.79,9.60,9.67,37050.00,357559.50,9.75,-0.08
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,338,1604.40,1520.10,1528.00,20225.00,31003069.10,1573.00,-45.00
NLG Insurance Company Ltd.,265,940.00,910.00,916.00,20979.00,19297461.20,956.00,-40.00
NMB  Microfinance Bittiya Sanstha Ltd.,85,1383.00,1353.00,1360.00,4617.00,6303109.20,1403.10,-43.10
NMB 50,22,11.86,11.70,11.70,90040.00,1058756.20,11.88,-0.18
NMB Bank Limited,1090,430.00,420.10,421.30,142013.00,59948404.50,430.00,-8.70
NMB Hybrid Fund L-1,7,11.50,11.24,11.35,22032.00,250605.36,11.60,-0.25
NRN Infrastructure and Development Limited,423,787.00,750.00,770.00,29149.00,22435296.70,790.00,-20.00
Oriental Hotels Limited,139,561.00,550.00,550.00,18342.00,10117760.10,566.00,-16.00
Panchakanya Mai Hydropower Ltd,286,381.30,360.00,368.10,35916.00,13269632.80,389.00,-20.90
Panchthar Power Compant Limited,186,504.00,480.00,493.00,17396.00,8498548.10,514.00,-21.00
Pokhara Finance Ltd.,599,724.00,674.30,682.00,58362.00,40097220.00,721.00,-39.00
Prabhu  Bank Limited,1238,430.50,415.10,417.90,186196.00,78075168.60,430.50,-12.60
Prabhu Insurance Ltd.,302,865.00,819.00,830.00,37324.00,31044073.90,871.00,-41.00
Prabhu Life Insurance Limited,425,690.00,674.00,675.00,16723.00,11375810.00,696.20,-21.20
Prabhu Select Fund,43,9.90,9.73,9.88,73364.00,721273.55,9.93,-0.05
Premier Insurance Co. Ltd.,464,1100.10,1045.00,1078.00,29503.00,31454506.60,1119.50,-41.50
Prime Commercial Bank Ltd.,1105,490.00,475.60,480.00,137696.00,66046122.70,492.00,-12.00
Prime Life Insurance Company Limited,244,868.00,830.00,848.00,40957.00,34719718.60,880.00,-32.00
ProgressiveFinance Limited,707,492.90,458.80,469.00,81512.00,38662178.20,496.00,-27.00
Prudential Insurance Co. Ltd.,266,725.00,701.00,712.00,40950.00,29152612.20,739.00,-27.00
Radhi Bidyut Company Ltd,767,730.30,703.00,711.00,68959.00,49210257.90,739.00,-28.00
Rairang Hydropower Development Company Ltd.,887,678.00,648.00,654.00,188225.00,123959880.00,690.00,-36.00
Rastriya Beema Company Limited,108,18900.00,18000.00,18700.00,1421.00,26000759.00,18696.60,3.40
